%StepNumber,%Temperature,%TemperatureUncertainty,%DurationSeconds),%Measurement,%MeasurementUncertainty
1,100,2,3600,0.003315,0.0003315
2,125,2,3600,0.011405,0.0011405
3,150,2,3600,0.014605,0.0014605
4,175,2,3600,0.018055,0.0018055
5,200,2,7200,0.027965,0.0027965
6,225,2,7200,0.032555,0.0032555
7,250,2,7200,0.036275,0.0036275
8,275,2,7200,0.045845,0.0045845
9,300,2,7200,0.070895,0.0042537
10,325,2,7200,0.123905,0.0074343
11,350,2,3600,0.104735,0.0062841
12,375,2,3600,0.168315,0.0100989
13,400,2,3600,0.309675,0.00929025
14,380,2,3600,0.088275,0.0052965
15,360,2,7200,0.059985,0.0059985
16,340,2,14400,0.033605,0.0033605
17,320,2,21600,0.014805,0.0014805
18,350,2,10800,0.047275,0.0047275
19,375,2,7200,0.102375,0.0061425
20,400,2,3600,0.166765,0.0100059
21,425,10,1800,0.254535,0.00763605
22,450,10,1800,0.567925,0.01703775
23,475,10,900,0.554405,0.01663215
24,500,10,900,1.037465,0.03112395
25,480,10,900,0.408065,0.01224195
26,460,10,1800,0.341235,0.01023705
27,440,10,3600,0.290185,0.00870555
28,420,10,7200,0.227355,0.00682065
29,400,2,14400,0.172015,0.0103209
30,400,2,18000,0.208225,0.00624675
31,400,2,18000,0.193395,0.0116037
32,-1,-1,-1,12.06,0.36